Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
Info Edge,3.8,(2.5k),11.6k,394,434,308,28
Delhi Public School,3.7,(2.5k),5.3k,167,208,268,13
SBI Securities,3.6,(2.5k),7.2k,202,94,113,21
Taj Hotels Resorts and Palaces,4.2,(2.5k),5k,166,--,185,5
Straive,3.3,(2.5k),10.9k,237,47,133,15
Daikin Airconditioning India Pvt. Ltd.,4.2,(2.5k),8.4k,228,22,171,2
Apollo Pharmacy,3.7,(2.5k),7.8k,212,1.1k,141,6
Endurance Technologies Limited,3.9,(2.4k),8.2k,152,20,257,1
Sopra Steria,3.9,(2.4k),14.4k,193,128,247,13
Star Union Dai-ichi Life Insurance,3.8,(2.4k),5.5k,150,39,110,23
Cybage,3.7,(2.4k),16.9k,216,22,278,4
BNP Paribas,3.7,(2.4k),19.8k,229,27,193,8
Torrent Power,4.2,(2.4k),8.1k,321,57,317,5
Statestreet HCL Services,3.4,(2.4k),12.3k,224,--,203,--
Capgemini Engineering,3.3,(2.4k),12.8k,417,--,146,4
JK Tyre,3.9,(2.4k),7.2k,236,13,280,6
Kia India,3.9,(2.4k),8.5k,186,101,177,15
Axis Direct,3.7,(2.4k),4.6k,90,45,208,--
GVK Emergency Management and Research Institute,3.5,(2.4k),4.8k,124,76,185,7
Bharat Petroleum,4.2,(2.4k),7.6k,192,2,195,16
Akums Drugs & Pharmaceuticals Limited,4.2,(2.4k),6.3k,343,28,157,22
Sobha,3.7,(2.4k),8.6k,174,39,244,9
SBI General Insurance,3.4,(2.4k),6.9k,140,39,139,6
Xoriant,3.9,(2.4k),11.8k,240,53,409,48
AWL Agri Business,4.1,(2.4k),7.1k,150,16,196,8
Panasonic Life Solutions India,3.9,(2.4k),7.4k,106,22,125,7
KocharTech,3.6,(2.4k),3.8k,86,23,560,6
Eureka Forbes,3.6,(2.4k),5.7k,97,7,231,5
Myntra,3.8,(2.4k),10.9k,414,19,311,44
Bharti AXA Life Insurance,3.6,(2.4k),5.3k,156,855,172,10
Aditya Birla Group,4.1,(2.4k),9.8k,244,2,251,15
Renault Nissan Technology & Business Centre India,3.5,(2.4k),15.4k,164,26,219,--
Lifestyle,4.1,(2.4k),6.8k,92,21,273,11
Radisson Hotels,4.0,(2.3k),5.3k,112,388,318,12
Unacademy,3.0,(2.3k),10.4k,248,15,161,42
Meesho,3.7,(2.3k),10.4k,469,29,313,13
Infinite Computer Solutions,3.2,(2.3k),16.4k,189,207,116,18
Coromandel International Limited,4.0,(2.3k),7.9k,133,41,230,--
Cisco,4.1,(2.3k),19.6k,434,490,237,19
